media_id,media_type,system_id,room_id,session_id,modality,source_type,zone_config_id,file_path,file_name,file_extension,source_rel_dir,file_size_bytes,start_time,end_time,duration_seconds,timezone,width,height,frame_rate,video_codec,has_audio,audio_codec,audio_sample_rate,audio_channels,quality_status,warnings
video_000001,video,free_range,room_1,caretaker_entry_week_11_17_aug,video,caretaker_entry_reference,default_zone,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,GX320044.MP4,.mp4,Caretaker Entry Video/Room 1/Week 11/17 Aug,694481157,2025-08-17T07:55:46-03:00,2025-08-17T08:45:57.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000002,video,free_range,room_1,caretaker_entry_week_11_17_aug,video,caretaker_entry_reference,default_zone,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX330044.MP4,GX330044.MP4,.mp4,Caretaker Entry Video/Room 1/Week 11/17 Aug,695571598,2025-08-17T08:45:57-03:00,2025-08-17T09:36:08.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000003,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",GX010044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",176249608,2025-08-16T06:00:03-03:00,2025-08-16T06:50:14.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000004,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX020044.MP4",GX020044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",577422047,2025-08-16T06:50:16-03:00,2025-08-16T07:40:27.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000005,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX030044.MP4",GX030044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",710115417,2025-08-16T07:40:27-03:00,2025-08-16T08:30:38.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000006,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX040044.MP4",GX040044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",699106262,2025-08-16T08:30:38-03:00,2025-08-16T09:20:49.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000007,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX050044.MP4",GX050044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",692979608,2025-08-16T09:20:49-03:00,2025-08-16T10:11:00.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000008,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX060044.MP4",GX060044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",688740962,2025-08-16T10:11:00-03:00,2025-08-16T11:01:11.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000009,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX070044.MP4",GX070044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",688802214,2025-08-16T11:01:11-03:00,2025-08-16T11:51:22.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000010,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX080044.MP4",GX080044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",685837596,2025-08-16T11:51:22-03:00,2025-08-16T12:41:33.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000011,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX090044.MP4",GX090044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",688909560,2025-08-16T12:41:33-03:00,2025-08-16T13:31:44.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000012,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX100044.MP4",GX100044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",690376406,2025-08-16T13:31:44-03:00,2025-08-16T14:21:55.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000013,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX110044.MP4",GX110044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",688504691,2025-08-16T14:21:55-03:00,2025-08-16T15:12:06.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000014,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX120044.MP4",GX120044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",689533657,2025-08-16T15:12:06-03:00,2025-08-16T16:02:17.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000015,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX130044.MP4",GX130044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",698067562,2025-08-16T16:02:17-03:00,2025-08-16T16:52:28.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000016,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX140044.MP4",GX140044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",289935717,2025-08-16T16:52:28-03:00,2025-08-16T17:42:39.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000017,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX150044.MP4",GX150044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",166497896,2025-08-16T17:42:39-03:00,2025-08-16T18:32:50.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000018,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX160044.MP4",GX160044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",169326535,2025-08-16T18:32:50-03:00,2025-08-16T19:23:01.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000019,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX170044.MP4",GX170044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",171130433,2025-08-16T19:23:01-03:00,2025-08-16T20:13:12.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000020,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX180044.MP4",GX180044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",171893959,2025-08-16T20:13:12-03:00,2025-08-16T21:03:23.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000021,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX190044.MP4",GX190044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",172236928,2025-08-16T21:03:23-03:00,2025-08-16T21:53:34.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000022,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX200044.MP4",GX200044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",170320895,2025-08-16T21:53:34-03:00,2025-08-16T22:43:45.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000023,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX210044.MP4",GX210044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",171630294,2025-08-16T22:43:45-03:00,2025-08-16T23:33:56.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000024,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX220044.MP4",GX220044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",173113336,2025-08-16T23:33:56-03:00,2025-08-17T00:24:07.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000025,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX230044.MP4",GX230044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",172873858,2025-08-17T00:24:07-03:00,2025-08-17T01:14:18.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000026,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX240044.MP4",GX240044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",171036665,2025-08-17T01:14:18-03:00,2025-08-17T02:04:29.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000027,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX250044.MP4",GX250044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",174408778,2025-08-17T02:04:29-03:00,2025-08-17T02:54:40.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000028,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX260044.MP4",GX260044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",175156629,2025-08-17T02:54:40-03:00,2025-08-17T03:44:51.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
video_000029,video,free_range,room_1,room_1_16_17_aug,video,room_observation_video,default_zone,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX270044.MP4",GX270044.MP4,.mp4,"video/Room 1/Room 1 (16, 17 Aug)",175056406,2025-08-17T03:44:51-03:00,2025-08-17T04:35:02.008000-03:00,3011.008,America/Halifax,1920,1080,29.97,hevc,True,aac,48000,2,warning,mapping_override
