window_id,room_id,session_id,start_time,end_time,event_id,event_phase,minutes_from_event_start,event_start_time,event_end_time,model_name,model_type,state_id,state_probability_max,risk_score,risk_level
video_000003_w0001,room_1,room_1_16_17_aug,2025-08-16T06:00:03-03:00,2025-08-16T06:00:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0002,room_1,room_1_16_17_aug,2025-08-16T06:00:13-03:00,2025-08-16T06:00:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0003,room_1,room_1_16_17_aug,2025-08-16T06:00:23-03:00,2025-08-16T06:00:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0004,room_1,room_1_16_17_aug,2025-08-16T06:00:33-03:00,2025-08-16T06:01:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0005,room_1,room_1_16_17_aug,2025-08-16T06:00:43-03:00,2025-08-16T06:01:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0006,room_1,room_1_16_17_aug,2025-08-16T06:00:53-03:00,2025-08-16T06:01:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975561724,low
video_000003_w0007,room_1,room_1_16_17_aug,2025-08-16T06:01:03-03:00,2025-08-16T06:01:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560867,low
video_000003_w0008,room_1,room_1_16_17_aug,2025-08-16T06:01:13-03:00,2025-08-16T06:01:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0009,room_1,room_1_16_17_aug,2025-08-16T06:01:23-03:00,2025-08-16T06:01:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0010,room_1,room_1_16_17_aug,2025-08-16T06:01:33-03:00,2025-08-16T06:02:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0011,room_1,room_1_16_17_aug,2025-08-16T06:01:43-03:00,2025-08-16T06:02:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0012,room_1,room_1_16_17_aug,2025-08-16T06:01:53-03:00,2025-08-16T06:02:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0013,room_1,room_1_16_17_aug,2025-08-16T06:02:03-03:00,2025-08-16T06:02:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0014,room_1,room_1_16_17_aug,2025-08-16T06:02:13-03:00,2025-08-16T06:02:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0015,room_1,room_1_16_17_aug,2025-08-16T06:02:23-03:00,2025-08-16T06:02:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0016,room_1,room_1_16_17_aug,2025-08-16T06:02:33-03:00,2025-08-16T06:03:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0017,room_1,room_1_16_17_aug,2025-08-16T06:02:43-03:00,2025-08-16T06:03:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0018,room_1,room_1_16_17_aug,2025-08-16T06:02:53-03:00,2025-08-16T06:03:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0019,room_1,room_1_16_17_aug,2025-08-16T06:03:03-03:00,2025-08-16T06:03:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0020,room_1,room_1_16_17_aug,2025-08-16T06:03:13-03:00,2025-08-16T06:03:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0021,room_1,room_1_16_17_aug,2025-08-16T06:03:23-03:00,2025-08-16T06:03:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0022,room_1,room_1_16_17_aug,2025-08-16T06:03:33-03:00,2025-08-16T06:04:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0023,room_1,room_1_16_17_aug,2025-08-16T06:03:43-03:00,2025-08-16T06:04:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.1053304597556087,low
video_000003_w0024,room_1,room_1_16_17_aug,2025-08-16T06:03:53-03:00,2025-08-16T06:04:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0025,room_1,room_1_16_17_aug,2025-08-16T06:04:03-03:00,2025-08-16T06:04:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0026,room_1,room_1_16_17_aug,2025-08-16T06:04:13-03:00,2025-08-16T06:04:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0027,room_1,room_1_16_17_aug,2025-08-16T06:04:23-03:00,2025-08-16T06:04:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.1053304597556088,low
video_000003_w0028,room_1,room_1_16_17_aug,2025-08-16T06:04:33-03:00,2025-08-16T06:05:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560873,low
video_000003_w0029,room_1,room_1_16_17_aug,2025-08-16T06:04:43-03:00,2025-08-16T06:05:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0030,room_1,room_1_16_17_aug,2025-08-16T06:04:53-03:00,2025-08-16T06:05:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0031,room_1,room_1_16_17_aug,2025-08-16T06:05:03-03:00,2025-08-16T06:05:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0032,room_1,room_1_16_17_aug,2025-08-16T06:05:13-03:00,2025-08-16T06:05:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0033,room_1,room_1_16_17_aug,2025-08-16T06:05:23-03:00,2025-08-16T06:05:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0034,room_1,room_1_16_17_aug,2025-08-16T06:05:33-03:00,2025-08-16T06:06:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0035,room_1,room_1_16_17_aug,2025-08-16T06:05:43-03:00,2025-08-16T06:06:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0036,room_1,room_1_16_17_aug,2025-08-16T06:05:53-03:00,2025-08-16T06:06:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0037,room_1,room_1_16_17_aug,2025-08-16T06:06:03-03:00,2025-08-16T06:06:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0038,room_1,room_1_16_17_aug,2025-08-16T06:06:13-03:00,2025-08-16T06:06:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0039,room_1,room_1_16_17_aug,2025-08-16T06:06:23-03:00,2025-08-16T06:06:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560992,low
video_000003_w0040,room_1,room_1_16_17_aug,2025-08-16T06:06:33-03:00,2025-08-16T06:07:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560869,low
video_000003_w0041,room_1,room_1_16_17_aug,2025-08-16T06:06:43-03:00,2025-08-16T06:07:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0042,room_1,room_1_16_17_aug,2025-08-16T06:06:53-03:00,2025-08-16T06:07:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0043,room_1,room_1_16_17_aug,2025-08-16T06:07:03-03:00,2025-08-16T06:07:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0044,room_1,room_1_16_17_aug,2025-08-16T06:07:13-03:00,2025-08-16T06:07:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0045,room_1,room_1_16_17_aug,2025-08-16T06:07:23-03:00,2025-08-16T06:07:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0046,room_1,room_1_16_17_aug,2025-08-16T06:07:33-03:00,2025-08-16T06:08:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0047,room_1,room_1_16_17_aug,2025-08-16T06:07:43-03:00,2025-08-16T06:08:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0048,room_1,room_1_16_17_aug,2025-08-16T06:07:53-03:00,2025-08-16T06:08:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0049,room_1,room_1_16_17_aug,2025-08-16T06:08:03-03:00,2025-08-16T06:08:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0050,room_1,room_1_16_17_aug,2025-08-16T06:08:13-03:00,2025-08-16T06:08:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0051,room_1,room_1_16_17_aug,2025-08-16T06:08:23-03:00,2025-08-16T06:08:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0052,room_1,room_1_16_17_aug,2025-08-16T06:08:33-03:00,2025-08-16T06:09:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0053,room_1,room_1_16_17_aug,2025-08-16T06:08:43-03:00,2025-08-16T06:09:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0054,room_1,room_1_16_17_aug,2025-08-16T06:08:53-03:00,2025-08-16T06:09:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0055,room_1,room_1_16_17_aug,2025-08-16T06:09:03-03:00,2025-08-16T06:09:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0056,room_1,room_1_16_17_aug,2025-08-16T06:09:13-03:00,2025-08-16T06:09:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0057,room_1,room_1_16_17_aug,2025-08-16T06:09:23-03:00,2025-08-16T06:09:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0058,room_1,room_1_16_17_aug,2025-08-16T06:09:33-03:00,2025-08-16T06:10:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0059,room_1,room_1_16_17_aug,2025-08-16T06:09:43-03:00,2025-08-16T06:10:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0060,room_1,room_1_16_17_aug,2025-08-16T06:09:53-03:00,2025-08-16T06:10:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0061,room_1,room_1_16_17_aug,2025-08-16T06:10:03-03:00,2025-08-16T06:10:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0062,room_1,room_1_16_17_aug,2025-08-16T06:10:13-03:00,2025-08-16T06:10:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560867,low
video_000003_w0063,room_1,room_1_16_17_aug,2025-08-16T06:10:23-03:00,2025-08-16T06:10:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0064,room_1,room_1_16_17_aug,2025-08-16T06:10:33-03:00,2025-08-16T06:11:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0065,room_1,room_1_16_17_aug,2025-08-16T06:10:43-03:00,2025-08-16T06:11:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0066,room_1,room_1_16_17_aug,2025-08-16T06:10:53-03:00,2025-08-16T06:11:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0067,room_1,room_1_16_17_aug,2025-08-16T06:11:03-03:00,2025-08-16T06:11:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0068,room_1,room_1_16_17_aug,2025-08-16T06:11:13-03:00,2025-08-16T06:11:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0069,room_1,room_1_16_17_aug,2025-08-16T06:11:23-03:00,2025-08-16T06:11:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0070,room_1,room_1_16_17_aug,2025-08-16T06:11:33-03:00,2025-08-16T06:12:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
