window_id,media_id,system_id,room_id,session_id,source_type,start_time,end_time,duration_seconds,video_path,video_start_offset_sec,has_audio,zone_config_id,quality_status,warnings,resolved_video_path,selection_rank
video_000003_w0001,video_000003,free_range,room_1,room_1_16_17_aug,room_observation_video,2025-08-16T06:00:03-03:00,2025-08-16T06:00:33-03:00,30.0,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",0.0,True,default_zone,warning,mapping_override,"C:\Users\tenpercent\Desktop\Yuxi Wang - Summer 2026\first_week_data_cleaning\data\raw\video\Room 1\Room 1 (16, 17 Aug)\GX010044.MP4",1
video_000003_w0002,video_000003,free_range,room_1,room_1_16_17_aug,room_observation_video,2025-08-16T06:00:13-03:00,2025-08-16T06:00:43-03:00,30.0,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",10.0,True,default_zone,warning,mapping_override,"C:\Users\tenpercent\Desktop\Yuxi Wang - Summer 2026\first_week_data_cleaning\data\raw\video\Room 1\Room 1 (16, 17 Aug)\GX010044.MP4",2
video_000003_w0003,video_000003,free_range,room_1,room_1_16_17_aug,room_observation_video,2025-08-16T06:00:23-03:00,2025-08-16T06:00:53-03:00,30.0,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",20.0,True,default_zone,warning,mapping_override,"C:\Users\tenpercent\Desktop\Yuxi Wang - Summer 2026\first_week_data_cleaning\data\raw\video\Room 1\Room 1 (16, 17 Aug)\GX010044.MP4",3
video_000003_w0004,video_000003,free_range,room_1,room_1_16_17_aug,room_observation_video,2025-08-16T06:00:33-03:00,2025-08-16T06:01:03-03:00,30.0,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",30.0,True,default_zone,warning,mapping_override,"C:\Users\tenpercent\Desktop\Yuxi Wang - Summer 2026\first_week_data_cleaning\data\raw\video\Room 1\Room 1 (16, 17 Aug)\GX010044.MP4",4
video_000003_w0005,video_000003,free_range,room_1,room_1_16_17_aug,room_observation_video,2025-08-16T06:00:43-03:00,2025-08-16T06:01:13-03:00,30.0,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",40.0,True,default_zone,warning,mapping_override,"C:\Users\tenpercent\Desktop\Yuxi Wang - Summer 2026\first_week_data_cleaning\data\raw\video\Room 1\Room 1 (16, 17 Aug)\GX010044.MP4",5
video_000003_w0006,video_000003,free_range,room_1,room_1_16_17_aug,room_observation_video,2025-08-16T06:00:53-03:00,2025-08-16T06:01:23-03:00,30.0,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",50.0,True,default_zone,warning,mapping_override,"C:\Users\tenpercent\Desktop\Yuxi Wang - Summer 2026\first_week_data_cleaning\data\raw\video\Room 1\Room 1 (16, 17 Aug)\GX010044.MP4",6
video_000003_w0007,video_000003,free_range,room_1,room_1_16_17_aug,room_observation_video,2025-08-16T06:01:03-03:00,2025-08-16T06:01:33-03:00,30.0,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",60.0,True,default_zone,warning,mapping_override,"C:\Users\tenpercent\Desktop\Yuxi Wang - Summer 2026\first_week_data_cleaning\data\raw\video\Room 1\Room 1 (16, 17 Aug)\GX010044.MP4",7
video_000003_w0008,video_000003,free_range,room_1,room_1_16_17_aug,room_observation_video,2025-08-16T06:01:13-03:00,2025-08-16T06:01:43-03:00,30.0,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",70.0,True,default_zone,warning,mapping_override,"C:\Users\tenpercent\Desktop\Yuxi Wang - Summer 2026\first_week_data_cleaning\data\raw\video\Room 1\Room 1 (16, 17 Aug)\GX010044.MP4",8
video_000003_w0009,video_000003,free_range,room_1,room_1_16_17_aug,room_observation_video,2025-08-16T06:01:23-03:00,2025-08-16T06:01:53-03:00,30.0,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",80.0,True,default_zone,warning,mapping_override,"C:\Users\tenpercent\Desktop\Yuxi Wang - Summer 2026\first_week_data_cleaning\data\raw\video\Room 1\Room 1 (16, 17 Aug)\GX010044.MP4",9
video_000003_w0010,video_000003,free_range,room_1,room_1_16_17_aug,room_observation_video,2025-08-16T06:01:33-03:00,2025-08-16T06:02:03-03:00,30.0,"data/raw/video/Room 1/Room 1 (16, 17 Aug)/GX010044.MP4",90.0,True,default_zone,warning,mapping_override,"C:\Users\tenpercent\Desktop\Yuxi Wang - Summer 2026\first_week_data_cleaning\data\raw\video\Room 1\Room 1 (16, 17 Aug)\GX010044.MP4",10
