env_feature,audio_feature,n_samples,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_fdr_bh,spearman_fdr_bh
temp_context,audio_rms,2,,,,,,
temp_context,audio_short_time_energy,2,,,,,,
temp_context,audio_zero_crossing_rate,2,,,,,,
temp_context,audio_spectral_centroid,2,,,,,,
temp_context,audio_spectral_bandwidth,2,,,,,,
temp_context,audio_spectral_rolloff,2,,,,,,
rh_context,audio_rms,2,,,,,,
rh_context,audio_short_time_energy,2,,,,,,
rh_context,audio_zero_crossing_rate,2,,,,,,
rh_context,audio_spectral_centroid,2,,,,,,
rh_context,audio_spectral_bandwidth,2,,,,,,
rh_context,audio_spectral_rolloff,2,,,,,,
temp_daily_mean,audio_rms,2,,,,,,
temp_daily_mean,audio_short_time_energy,2,,,,,,
temp_daily_mean,audio_zero_crossing_rate,2,,,,,,
temp_daily_mean,audio_spectral_centroid,2,,,,,,
temp_daily_mean,audio_spectral_bandwidth,2,,,,,,
temp_daily_mean,audio_spectral_rolloff,2,,,,,,
rh_daily_mean,audio_rms,2,,,,,,
rh_daily_mean,audio_short_time_energy,2,,,,,,
rh_daily_mean,audio_zero_crossing_rate,2,,,,,,
rh_daily_mean,audio_spectral_centroid,2,,,,,,
rh_daily_mean,audio_spectral_bandwidth,2,,,,,,
rh_daily_mean,audio_spectral_rolloff,2,,,,,,
temp_daily_range,audio_rms,2,,,,,,
temp_daily_range,audio_short_time_energy,2,,,,,,
temp_daily_range,audio_zero_crossing_rate,2,,,,,,
temp_daily_range,audio_spectral_centroid,2,,,,,,
temp_daily_range,audio_spectral_bandwidth,2,,,,,,
temp_daily_range,audio_spectral_rolloff,2,,,,,,
