window_id,media_id,room_id,session_id,start_time,end_time,mobility_index,spatial_freedom_index,occupancy_imbalance_index,activity_mean,normalized_activity,resilience_pressure_index,event_phase,event_id,event_type,seconds_from_event_start,seconds_from_event_end,overlaps_event,event_start_time,event_end_time,state_id,state_probability_max,posterior_state_0,posterior_state_1,posterior_state_2,posterior_state_3,state_label,state_run_length,welfare_risk_score,risk_level,sustained_risk_flag,high_risk_flag
video_000003_w0001,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:03-03:00,2025-08-16T06:00:33-03:00,7.169744608505161e-06,0.5806780766870443,0.45443380225191105,1.6205712001594413e-05,1.0242492297864517e-05,0.0,outside_event_window,,,,,False,,,1,1.0,0.0,1.0,0.0,2.1412606970046643e-282,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0002,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:13-03:00,2025-08-16T06:00:43-03:00,0.007123136348872797,0.5644965456146713,0.4685887022790186,1.3964126698330173e-05,8.338106174575304e-06,0.0,outside_event_window,,,,,False,,,1,1.0,1.567659457396752e-256,1.0,5.5893260467046576e-58,1.1208795582430948e-93,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0003,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:23-03:00,2025-08-16T06:00:53-03:00,0.003044842069475679,0.5902699482998728,0.45846859923020417,1.896577729593174e-05,1.2587364044772356e-05,0.0,outside_event_window,,,,,False,,,1,1.0,5.467818656952009e-257,1.0,4.9848985069129227e-54,5.589326044427266e-58,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0004,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:33-03:00,2025-08-16T06:01:03-03:00,0.0296242137422074,0.7299404446928125,0.38810840733180596,2.3260066573249637e-05,1.623566817007373e-05,0.0,outside_event_window,,,,,False,,,1,1.0,9.932184706972549e-256,1.0,2.606672862463482e-40,4.9848985066227636e-54,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0005,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:43-03:00,2025-08-16T06:01:13-03:00,0.006076549124935247,0.7534378155604129,0.36888243487141503,2.7730335288348823e-05,2.0033479342377463e-05,0.0,outside_event_window,,,,,False,,,1,1.0,8.02357048834788e-242,1.0,1.8426607438237625e-37,2.6066728573047187e-40,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0006,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:00:53-03:00,2025-08-16T06:01:23-03:00,0.024136685269436197,0.8346109941802351,0.3088740605610818,3.1432481633449547e-05,2.3178715937089646e-05,0.0,outside_event_window,,,,,False,,,1,1.0,2.3691336128393877e-239,1.0,2.2721239257123684e-31,1.842660741142338e-37,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0007,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:03-03:00,2025-08-16T06:01:33-03:00,0.010978528472543114,0.802181646416331,0.338545391700806,3.0161698401798275e-05,2.2099095211284047e-05,0.0,outside_event_window,,,,,False,,,1,1.0,4.516548906784194e-233,1.0,4.643895751551939e-36,2.2721239249188385e-31,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0008,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:13-03:00,2025-08-16T06:01:43-03:00,0.008282239860901914,0.7704827952664277,0.36610061052943244,3.0506150633068108e-05,2.2391731877134343e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.2167655215577073e-237,1.0,5.638563031871517e-39,4.6438957439832505e-36,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0009,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:23-03:00,2025-08-16T06:01:53-03:00,0.010157833914089358,0.7595380593587998,0.36206071176345694,3.09204065633617e-05,2.274367174932773e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.4250354664152294e-240,1.0,5.889877033527775e-39,5.638563022353498e-39,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
video_000003_w0010,video_000003,room_1,room_1_16_17_aug,2025-08-16T06:01:33-03:00,2025-08-16T06:02:03-03:00,0.007291817777439671,0.7905505527989576,0.3378120490084797,3.310366064553557e-05,2.4598501352132417e-05,0.0,outside_event_window,,,,,False,,,1,1.0,1.3348881396699787e-240,1.0,3.9857917456662965e-36,5.889877031127923e-39,localized_low_activity_concentration,379,0.3268295656181177,low,False,False
