room_id,date,temp_am_min,temp_am_max,temp_pm,rh_am,rh_pm,temp_am_mean,temp_daily_mean,rh_daily_mean,temp_daily_range,env_quality_flag,source_file
room_1,2025-06-05,,,30.7,,49,,30.7,49.0,,ok,Combined Room 1.xlsx
room_1,2025-06-06,30.7,33.3,31.6,47.0,47,32.0,31.8,47.0,2.599999999999998,ok,Combined Room 1.xlsx
room_1,2025-06-07,31.3,31.8,31.6,47.0,47,31.55,31.575000000000003,47.0,0.5,ok,Combined Room 1.xlsx
room_1,2025-06-08,31.4,31.8,31.6,46.0,38,31.6,31.6,42.0,0.40000000000000213,ok,Combined Room 1.xlsx
room_1,2025-06-09,31.4,31.8,31.7,44.0,47,31.6,31.65,45.5,0.40000000000000213,ok,Combined Room 1.xlsx
room_1,2025-06-10,30.9,31.8,30.8,48.0,45,31.35,31.075000000000003,46.5,0.9000000000000021,ok,Combined Room 1.xlsx
room_1,2025-06-11,30.9,30.6,30.8,45.0,46,30.75,30.775,45.5,-0.29999999999999716,ok,Combined Room 1.xlsx
room_1,2025-06-12,30.6,30.8,30.7,46.0,41,30.700000000000003,30.700000000000003,43.5,0.1999999999999993,ok,Combined Room 1.xlsx
room_1,2025-06-13,29.9,30.8,29.9,44.0,46,30.35,30.125,45.0,0.9000000000000021,ok,Combined Room 1.xlsx
room_1,2025-06-14,29.8,30.1,30.0,44.0,43,29.950000000000003,29.975,43.5,0.3000000000000007,ok,Combined Room 1.xlsx
room_1,2025-06-15,29.8,30.1,29.9,44.0,48,29.950000000000003,29.925,46.0,0.3000000000000007,ok,Combined Room 1.xlsx
room_1,2025-06-16,29.8,30.1,30.1,46.0,42,29.950000000000003,30.025000000000002,44.0,0.3000000000000007,ok,Combined Room 1.xlsx
room_1,2025-06-17,29.8,30.4,30.3,43.0,40,30.1,30.200000000000003,41.5,0.5999999999999979,ok,Combined Room 1.xlsx
room_1,2025-06-18,29.3,30.4,30.1,44.0,44,29.85,29.975,44.0,1.0999999999999979,ok,Combined Room 1.xlsx
room_1,2025-06-19,29.9,30.3,30.3,45.0,48,30.1,30.200000000000003,46.5,0.40000000000000213,ok,Combined Room 1.xlsx
room_1,2025-06-20,28.4,30.3,28.1,45.0,50,29.35,28.725,47.5,1.9000000000000021,ok,Combined Room 1.xlsx
room_1,2025-06-21,27.9,28.8,28.3,44.0,44,28.35,28.325000000000003,44.0,0.9000000000000021,ok,Combined Room 1.xlsx
room_1,2025-06-22,28.0,28.8,28.4,44.0,44,28.4,28.4,44.0,0.8000000000000007,ok,Combined Room 1.xlsx
room_1,2025-06-23,26.7,28.3,26.6,48.0,48,27.5,27.05,48.0,1.6000000000000014,ok,Combined Room 1.xlsx
room_1,2025-06-24,26.3,28.9,26.4,53.0,62,27.6,27.0,57.5,2.599999999999998,ok,Combined Room 1.xlsx
room_1,2025-06-25,26.0,26.8,26.3,53.0,45,26.4,26.35,49.0,0.8000000000000007,ok,Combined Room 1.xlsx
room_1,2025-06-26,25.8,26.8,26.6,44.0,31,26.3,26.450000000000003,37.5,1.0,ok,Combined Room 1.xlsx
room_1,2025-06-27,25.9,27.1,26.4,44.0,39,26.5,26.45,41.5,1.2000000000000028,ok,Combined Room 1.xlsx
room_1,2025-06-28,25.9,26.9,26.6,44.0,44,26.4,26.5,44.0,1.0,ok,Combined Room 1.xlsx
room_1,2025-06-29,26.3,26.9,26.6,44.0,45,26.6,26.6,44.5,0.5999999999999979,ok,Combined Room 1.xlsx
room_1,2025-06-30,24.6,25.9,24.7,58.0,61,25.25,24.975,59.5,1.2999999999999972,ok,Combined Room 1.xlsx
room_1,2025-07-01,24.5,25.0,24.6,56.0,58,24.75,24.675,57.0,0.5,ok,Combined Room 1.xlsx
room_1,2025-07-02,24.1,25.3,24.6,67.0,76,24.700000000000003,24.650000000000002,71.5,1.1999999999999993,ok,Combined Room 1.xlsx
room_1,2025-07-03,24.1,24.9,24.6,68.0,68,24.5,24.55,68.0,0.7999999999999972,ok,Combined Room 1.xlsx
room_1,2025-07-04,24.4,24.9,24.4,61.0,59,24.65,24.525,60.0,0.5,ok,Combined Room 1.xlsx
room_1,2025-07-05,24.2,24.9,24.8,51.0,54,24.549999999999997,24.674999999999997,52.5,0.6999999999999993,ok,Combined Room 1.xlsx
room_1,2025-07-06,24.4,25.4,24.7,47.0,60,24.9,24.799999999999997,53.5,1.0,ok,Combined Room 1.xlsx
room_1,2025-07-07,23.4,25.4,23.8,62.0,76,24.4,24.1,69.0,2.0,ok,Combined Room 1.xlsx
room_1,2025-07-08,23.4,24.4,23.8,77.0,78,23.9,23.85,77.5,1.0,ok,Combined Room 1.xlsx
room_1,2025-07-09,23.4,24.4,23.6,56.0,47,23.9,23.75,51.5,1.0,ok,Combined Room 1.xlsx
room_1,2025-07-10,23.2,24.1,23.6,53.0,49,23.65,23.625,51.0,0.9000000000000021,ok,Combined Room 1.xlsx
room_1,2025-07-11,23.3,24.2,23.9,52.0,63,23.75,23.825,57.5,0.8999999999999986,ok,Combined Room 1.xlsx
room_1,2025-07-12,23.5,24.3,23.6,60.0,54,23.9,23.75,57.0,0.8000000000000007,ok,Combined Room 1.xlsx
room_1,2025-07-13,23.7,23.9,23.7,60.0,64,23.799999999999997,23.75,62.0,0.1999999999999993,ok,Combined Room 1.xlsx
room_1,2025-07-14,23.3,24.1,23.6,59.0,62,23.700000000000003,23.650000000000002,60.5,0.8000000000000007,ok,Combined Room 1.xlsx
room_1,2025-07-15,23.3,24.3,23.6,68.0,76,23.8,23.700000000000003,72.0,1.0,ok,Combined Room 1.xlsx
room_1,2025-07-16,23.3,24.3,23.7,70.0,82,23.8,23.75,76.0,1.0,ok,Combined Room 1.xlsx
room_1,2025-07-17,23.3,24.2,23.8,74.0,84,23.75,23.775,79.0,0.8999999999999986,ok,Combined Room 1.xlsx
room_1,2025-07-18,23.3,23.9,23.8,89.0,78,23.6,23.700000000000003,83.5,0.5999999999999979,ok,Combined Room 1.xlsx
room_1,2025-07-19,23.2,24.5,23.5,50.0,43,23.85,23.675,46.5,1.3000000000000007,ok,Combined Room 1.xlsx
room_1,2025-07-20,23.3,24.2,23.8,50.0,56,23.75,23.775,53.0,0.8999999999999986,ok,Combined Room 1.xlsx
